歌单名,简介,歌曲名,艺人名,推荐语
2020,,,,
,,"Dissolved Girl","Massive Attack",
,,Jambo,痛仰乐队,
"Yoga Texture","Shuffle List",,,
,,"No Dreams",Noveller,
,,渐生变,"窦唯 / 不一样乐队",
,,那时季节,"窦唯 / 不一样乐队",
,,"Then I Don't Make It","Cliff Martinez",
,,"Can't Say I'm Happy To See You","Cliff Martinez",
,,"Ladies Close Your Eyes","Cliff Martinez / Gregory Tripi",
,,"Pan to Me","Cliff Martinez",
,,Hands,"Cliff Martinez",
,,"I Don't Know Any Nice People","Cliff Martinez",
,,"First Rain","S. Carey / Teen Daze",
,,"Wake (Epilogue Edit)",SYNC24,
,,"Kensington Gardens","Carbon Based Lifeforms",
,,"Lucy Dub",Loscil,
,,Steam,Loscil,
,,Zephyr,Loscil,
,,"Nicaragua 1894","Cliff Martinez",
,,哔一声之后,王菲,
,,Miranda,Slowdive,
,,Trellisaze,Slowdive,
,,"The Making of Grief Point",Loscil,
,,Rorschach,Loscil,
,,"I'm Gonna Live Anyhow","Yann Tiersen",
,,"Atomos VI","A Winged Victory for the Sullen",
,,Amber,:zoviet*france:,
,,Perpetual,"Trent Reznor",
,,流,张亚东,
,,沉默如谜的呼吸,周云蓬,
,,"Low Frequency Inversion Field","Spacetime Continuum",
,,"口音 8","窦唯 / 译",
,,"口音 6","窦唯 / 译",
,,"A Reflection","Trent Reznor",
,,"Something Disposable","Trent Reznor",
,,"Background Noise","Trent Reznor",
,,"Sugar Storm","Trent Reznor",
,,"Clue One","Trent Reznor",
,,"Distant Showers Sweep Across Norfolk Schools","July Skies",
,,"Another Soft Helion",:zoviet*france:,
,,"Electron Gate",:zoviet*france:,
,,"Untitled Track",:zoviet*france:,
,,"See You in Four","Cliff Martinez",
,,NoFearRecord2017扎得紧－03.和你不一样(breakd&lilmean),NofearFamily,
,,"口音 7","窦唯 / 译",
,,"Get Her Out Of Me","Cliff Martinez",
,,"Something's In My Room","Cliff Martinez",
,,"Slottet, No. 2","The Radio Dept.",
,,"Psychic Automation",Inventions,
,,溪夜,不一样乐队,
,,Gryning,"Carbon Based Lifeforms",
,,Frog,"Carbon Based Lifeforms",
