歌曲名,专辑名,艺人名,歌曲译名
Lydian,"Never Let Me Go","Ghostly Kisses",
"the traveler","wet as hell",feeshy,
"The Hunter's Path","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",
"west wind drift","wet as hell",feeshy,
Causalities,"Templates for Mimesis","The Seven Mile Journey",
Pell,"ALL Singles","Yann Tiersen;Emilie Tiersen",
Insomnia,"Nuit Noire","Lost in Kiev",
"Tempting Abyss (J.P.illusion Remix)","Tempting Abyss","Mystic Crock",
Sustain,III,BADBADNOTGOOD,
Seasons,0.7,惘闻,四季歌
Mladic,"'Allelujah! Don't Bend! Ascend!","Godspeed You! Black Emperor",
Truth,Truth,"Kamasi Washington",
"Clearing Our Streams",Continuation,"Alex Cline",
"Lullaby From the Great Mother Whale For the Baby Seal Pups",Callings,"Paul Winter",
Invocation,"Spiritual Unity","Marc Ribot",
Reflection,Reflection,"Brian Eno",
Atlantis,"The Oceanic Tomes","A Place Of Owls;Blake Tanberk",
"After The Rain",Shallow,"Porya Hatami",
"Rara Pluma","Clouds, Not Clocks","Slow Meadow",
爱情万岁,爱情万岁,五月天,"Viva Love"
叫我第一名,爱情万岁,五月天,"Call Me No.1"
憨人,爱情万岁,五月天,Fool
终结孤单,爱情万岁,五月天,"Loneliness Terminator"
志明与春娇,第一张创作专辑,五月天,
拥抱,第一张创作专辑,五月天,
"一颗苹果 (Life Live)","五月天 人生无限公司 Life Live 好友加班篇",五月天,"A Single Apple (Life Live)"
倔强,神的孩子都在跳舞,五月天,
知足,"知足 最真杰作选",五月天,
"我心中尚未崩坏的地方 (Live)","D.N.A LIVE! 五月天创造 小巨蛋演唱会创纪录音",五月天,
"温柔 (Live)","D.N.A LIVE! 五月天创造 小巨蛋演唱会创纪录音",五月天,
如烟,后青春期的诗,五月天,
"Taking Off","Moving Off Ground","Chill Carrier",
寒武纪,寓言,王菲,
"Argha Noah","Carboot Soul","Nightmares on Wax",
"Ooh La La",Supernature,Goldfrapp,
