专辑名,艺人名,发行时间
"Brian Eno - Film Music 1976 ~ 2020","Brian Eno",2020-11-13
"The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26
"Stars Are Our Home","Black Hearted Brother",2013-10-22
Callings,"Paul Winter",1980-01-01
"Spiritual Instinct",Alcest,2019-10-25
"This Is Not a Safe Place",Ride,2019-08-16
Palestine,"Yann Tiersen",2010-03-29
"Dust Lane","Yann Tiersen",2010-10-11
"丁薇－美梦如是“Live at Blue Note Beijing”现场录音专辑",丁薇,2018-11-15
Requiem,"Silent Whale Becomes A° Dream",2017-11-18
"Mystic Cigarettes","Saafi Brothers",1997-11-24
All,"Yann Tiersen",2019-02-15
"荒舟 The Wild Ark",Zafka,2018-09-28
"第五人格 游戏原声",王景飞,2018-04-13
"Bach: The Art of Fugue","Johann Sebastian Bach",2002-11-04
"Bach: The Art Of Fugue","Kenneth Gilbert",1990-05-01
"Computer World",Kraftwerk,1981-02-14
"Synth patcher X $huang ninja：Live",张所思,2018-03-24
一帧世纪,谢玉岗,2018-04-16
亚伯拉罕的机器,Zafka,2018-02-16
"Just for a Life, A Homage to Slowdive","Various Artists",2017-02-14
"Upside Down: The Creation Records Story","Various Artists",2011-05-09
"The Neon Demon (Original Motion Picture Soundtrack)","Cliff Martinez",2016-06-24
"Pissing Stars","Efrim Manuel Menuck",2018-02-02
"Repeat / Texture",Hammock,2018-02-02
"party is over, pornostar",Snapline,2007-09-08
R.U.R,"The Shanghai Restoration Project",2017-11-24
Slowdive,Slowdive,1990-11-05
摇滚交响音乐会,崔健,2017-08-23
"Sgt. Pepper's Lonely Hearts Club Band","The Beatles",1967-06-01
"Stranger Things (Music from the Netflix Original Series)",Soundtrack,2017-10-27
"Neon Bible","Arcade Fire",2007-03-06
"Shalabi Effect","Shalabi Effect",2000-07-01
"Luciferian Towers","Godspeed You! Black Emperor",2017-09-22
"Four-Calendar Café","Cocteau Twins",1993-11-01
回声图书馆,谢玉岗,2017-10-12
热带从未有过的风景,"Chui Wan",2017-09-01
"沧浪星 [Re-mixing 2017]",沼泽,2017-07-03
"A Storm In Heaven (2016 Remastered / Deluxe)","The Verve",2016-09-09
"Orchestral Variations","Minor Victories",2017-01-27
Slowdive,Slowdive,2017-05-05
"The Witcher (Original Soundtrack)","Adam Skorupa",2007-08-08
"Star Roving",Slowdive,2017-01-13
"LAST WALTZ","world&#039;s end girlfriend",2016-11-26
Pygmalion,Slowdive,1995-02-06
闪亮的星,梁静茹,2001-06-28
Hangedup,Hangedup,2001-05-29
RANDOM,"Kouichi Okamoto",2005-01-01
"慈 (Affection)",灰野敬二,1992-02-01
"The Well-Tuned Piano 81 X 25 6:17:50 - 11:18:59 PM NYC","La Monte Young",1987-01-01
"Make Love, And War (The Wedlock of Equilibrium)","Ordo Rosarius Equilibrio",2001-09-09
"Chill Out","The KLF",1990-01-01
"Fall Sounds","Velour 100",1996-03-16
琴晚,沼泽,2015-10-11
Souvlaki,Slowdive,1993-05-17
"The Dark Side of the Moon","Pink Floyd",1973-03-01
"Minimalist Dream House","Various Artists",2013-03-16
"In C: 25th Anniversary Concert [live]","Terry Riley/Oakland Elementary School Arkestra/Dave Slusser",1995-02-09
"The Book Of Abbeyozzud","Terry Riley/Oakland Elementary School Arkestra/Dave Slusser",2009-11-18
